Game Name,Publisher,Year,Label
Basketball, Atari, XXXX, Atari CXL4004
Super Breakout, Atari, XXXX, Atari CXL4006
Music Composer, Atari, XXXX, Atari CXL4007
Computer Chess, Atari, XXXX, Atari CXL4009
Star Raiders, Atari, XXXX, Atari CXL4011
Asteroids, Atari, XXXX, Atari CXL4013
Pilot, Atari, XXXX, Atari CXL4018
Centipede, Atari, XXXX, Atari CXL4020
Pac-Man, Atari, 1982, Atari CXL4022
Galaxian, Atari, 1982, Atari CXL4024
Defender, Atari, 1982, Atari CXL4025
QIX, Atari, 1982, Atari CXL4027
Pole Position, Atari, 1983, Atari RX8034
Eastern Front (1941), Atari, 1982, Atari RX8039
Ms Pac-Man, Atari, 1983, Atari RX8043
Jungle Hunt, Atari, 1987, Atari RX8049
Blue Max, Atari XE, 1983, Atari RX8081
Desert Falcon, Atari, 1987, Atari RX8089
Gato, Atari XE, 1987, Atari RX8090
Flight Simulator II, Atari XE, 1987, Atari RX8091
Necromancer, Atari XE, 1988, Atari RX8108
Q*bert, Parker Brothers, 1983, N/A
Submarine Commander, Thorn EMI, 1982, THA 12001
